phase,variant,variant_family,world_count,route_length,capacity_condition,context_slots,capacity_ratio,retention_world,world_age_from_end,seed_count,row_count,route_table_accuracy_all_mean,route_table_accuracy_all_std,route_table_accuracy_all_ci95_low,route_table_accuracy_all_ci95_high,route_table_accuracy_all_n,composition_accuracy_seen_routes_mean,composition_accuracy_seen_routes_std,composition_accuracy_seen_routes_ci95_low,composition_accuracy_seen_routes_ci95_high,composition_accuracy_seen_routes_n,composition_accuracy_suffix_routes_mean,composition_accuracy_suffix_routes_std,composition_accuracy_suffix_routes_ci95_low,composition_accuracy_suffix_routes_ci95_high,composition_accuracy_suffix_routes_n,first_step_context_accuracy_mean,first_step_context_accuracy_std,first_step_context_accuracy_ci95_low,first_step_context_accuracy_ci95_high,first_step_context_accuracy_n,suffix_generalization_gap_mean,suffix_generalization_gap_std,suffix_generalization_gap_ci95_low,suffix_generalization_gap_ci95_high,suffix_generalization_gap_n,route_table_composition_gap_seen_mean,route_table_composition_gap_seen_std,route_table_composition_gap_seen_ci95_low,route_table_composition_gap_seen_ci95_high,route_table_composition_gap_seen_n,route_table_composition_gap_suffix_mean,route_table_composition_gap_suffix_std,route_table_composition_gap_suffix_ci95_low,route_table_composition_gap_suffix_ci95_high,route_table_composition_gap_suffix_n,capacity_used_mean,capacity_used_std,capacity_used_ci95_low,capacity_used_ci95_high,capacity_used_n,evictions_mean,evictions_std,evictions_ci95_low,evictions_ci95_high,evictions_n,hash_collisions_mean,hash_collisions_std,hash_collisions_ci95_low,hash_collisions_ci95_high,hash_collisions_n
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,32,16,none,,,,,20,20,0.00018717447916666663,8.391076520522766e-05,0.00015039896485825565,0.0002239499934750776,20,0.0,0.0,0.0,0.0,20,6.045386904761905e-05,6.930429876958654e-05,3.007992090399594e-05,9.082781719124215e-05,20,0.0,0.0,0.0,0.0,20,-6.045386904761905e-05,6.930429876958654e-05,-9.082781719124215e-05,-3.007992090399594e-05,20,0.00018717447916666663,8.391076520522766e-05,0.00015039896485825565,0.0002239499934750776,20,0.00012672061011904763,0.00010846395855523133,7.918418436915707e-05,0.00017425703586893817,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,4,4,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,96.0,0.0,96.0,96.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,4,8,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,96.0,0.0,96.0,96.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,4,12,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,96.0,0.0,96.0,96.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,4,16,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,96.0,0.0,96.0,96.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,8,4,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,192.0,0.0,192.0,192.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,8,8,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,192.0,0.0,192.0,192.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,8,12,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,192.0,0.0,192.0,192.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,8,16,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,192.0,0.0,192.0,192.0,20,,,,,0,,,,,0
baseline_comparison,baseline_route_endpoint_memorizer,whole_route_memorizer,16,4,none,,,,,20,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,1.0,0.0,1.0,1.0,20,-1.0,0.0,-1.0,-1.0,20,0.0,0.0,0.0,0.0,20,384.0,0.0,384.0,384.0,20,,,,,0,,,,,0
